M_init age core_mass st
33.5187 7.414466647471e+00 9.67472 4
33.618 7.391864323502e+00 9.70595 4
33.8165 7.411491206541e+00 9.67781 4
33.7172 7.397917710304e+00 9.69712 4
34.3131 7.357457630001e+00 9.75453 4
34.0152 7.400680422579e+00 9.69469 4
34.1145 7.370479652967e+00 9.73683 4
34.2138 7.388563959276e+00 9.71094 4
33.9159 7.383384627574e+00 9.71686 4
34.611 7.366905304000e+00 9.74008 4
34.4124 7.376909037725e+00 9.72663 4
34.7103 7.334814600494e+00 9.78547 4
34.5117 7.346008667124e+00 9.77017 4
34.8096 7.356905289899e+00 9.756 4
34.9089 7.325455065529e+00 9.79822 4
35.0082 7.347869245729e+00 9.76814 4
35.2067 7.338108023446e+00 9.78136 4
35.306 7.308190741868e+00 9.82411 4
35.1075 7.316212998404e+00 9.81323 4
35.4054 7.330092928079e+00 9.79216 4
35.5047 7.300870379600e+00 9.83397 4
35.9019 7.289712010649e+00 9.85113 4
35.7033 7.294709962839e+00 9.84463 4
35.604 7.323018468895e+00 9.80409 4
35.8026 7.315760995913e+00 9.81374 4
36.1005 7.283867622121e+00 9.85896 4
36.2991 7.279928266644e+00 9.864 4
36.1998 7.302344616720e+00 9.83168 4
36.0012 7.308888276204e+00 9.82296 4
36.3984 7.297049862114e+00 9.84112 4
36.4977 7.276126122459e+00 9.87127 4
36.6963 7.273170800566e+00 9.87476 4
36.5969 7.292413708047e+00 9.84708 4
36.9942 7.258271466902e+00 9.89556 4
37.0935 7.271638254533e+00 9.878 4
37.1928 7.249065078520e+00 9.91083 4
36.7956 7.286851547028e+00 9.8544 4
37.3914 7.239930608947e+00 9.92361 4
37.2921 7.268344752494e+00 9.88203 4
37.4907 7.263225855259e+00 9.88874 4
37.59 7.238380459951e+00 9.92508 4
37.7886 7.240376040966e+00 9.92384 4
37.6893 7.258561544071e+00 9.89491 4
36.8949 7.271928788672e+00 9.87588 4
37.8879 7.253987555248e+00 9.90327 4
38.2851 7.218205976152e+00 9.95486 4
38.0864 7.225750596844e+00 9.9443 4
37.9871 7.243142022821e+00 9.91894 4
38.3844 7.239036541266e+00 9.92348 4
38.1858 7.242306229419e+00 9.91941 4
38.583 7.236641251389e+00 9.92867 4
38.8809 7.226574420951e+00 9.94233 4
38.4837 7.218446793166e+00 9.95616 4
38.7816 7.232547264987e+00 9.93387 4
39.1788 7.203670351513e+00 9.97796 4
38.9802 7.207883872741e+00 9.96999 4
39.0795 7.226257594053e+00 9.9445 4
38.6823 7.222936625514e+00 9.94865 4
39.2781 7.223925173837e+00 9.94712 4
39.4766 7.220681295074e+00 9.9512 4
39.3773 7.209063293805e+00 9.96903 4
39.576 7.215659376005e+00 9.95828 4
39.6753 7.200109887646e+00 9.98129 4
39.7746 7.216104323690e+00 9.95928 4
39.8739 7.195896494989e+00 9.98931 4
